image,name,CODE,type,brand,category,unit_code,cost,price,product_details
,ผ้าโซฟา สีเขียวอ่อน,0-CP-146-8Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีเขียวอ่อน
,ผ้าโซฟา สีเขียว,0-CP-146-9Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีเขียว
,ผ้าโซฟา สีแดง,0-CP-147-10Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีชมพู,0-CP-147-11Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีชมพู
,ผ้าโซฟา สีม่วงอ่อน,0-CP-147-12Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วงอ่อน
,ผ้าโซฟา สีม่วงเข้ม,0-CP-147-13Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วงเข้ม
,ผ้าโซฟา สีม่วง,0-CP-147-14Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วง
,ผ้าโซฟา สีฟ้าสด,0-CP-147-15Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีฟ้าสด
,ผ้าโซฟา สีฟ้าเข้ม,0-CP-147-16Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีฟ้าเข้ม
,ผ้าโซฟา สีฟ้า,0-CP-147-17Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีฟ้า
,ผ้าโซฟา,0-CP-147-18Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-19Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีขาว,0-CP-147-1C ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีขาว
,ผ้าโซฟา สีขาว,0-CP-147-1Zไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีขาว
,ผ้าโซฟา,0-CP-147-20Zไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-21C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีน้ำตาล,0-CP-147-23Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา,0-CP-147-24Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีน้ำตาลเข้ม,0-CP-147-25Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาลเข้ม
,ผ้าโซฟา,0-CP-147-26Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีดำ,0-CP-147-27Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีดำ
,ผ้าโซฟา,0-CP-147-2Zไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-3Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-4Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-5Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-6Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีฟ้า,0-CP-1477-17C,standard,,CP,pc,1,1,ผ้าโซฟา สีฟ้า
,ผ้าโซฟา,0-CP-1477-20C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1477-22C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีน้ำตาล,0-CP-1477-23C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา,0-CP-1477-2C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1477-4C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1477-5C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1477-6C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-7Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-8Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-147-9Cไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
